                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.5066,                  1.548,                 1.7555,                 0.6587,                0.52496,                0.57488,                0.35564,                 1.3753,                 1.3408,                 1.6877,               0.000317,               0.000317,               0.000317
                     88,                 1.5486,                 1.5624,                 1.7695,                0.77244,                0.40734,                0.53379,                0.32353,                 1.4135,                 1.4483,                 1.6976,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.5831,                 1.5338,                  1.758,                 0.7688,                   0.48,                 0.5695,                0.34741,                 1.4111,                 1.3436,                 1.6877,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.5038,                    1.5,                 1.7737,                0.74891,                0.47724,                0.56846,                0.35098,                 1.4229,                 1.3773,                 1.7052,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.5104,                 1.6357,                 1.7314,                 0.8003,                  0.448,                0.57835,                0.35075,                 1.4053,                 1.3696,                 1.7117,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.4558,                 1.4943,                 1.6857,                0.74774,                  0.472,                0.57806,                0.35306,                  1.399,                 1.3738,                 1.6815,               0.000218,               0.000218,               0.000218
                     93,                 1.4721,                 1.5042,                 1.7129,                0.77355,                  0.472,                0.58741,                0.36024,                 1.3702,                  1.358,                 1.6826,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.4345,                 1.4518,                 1.6795,                0.68719,                  0.488,                0.58334,                0.36553,                 1.3282,                 1.3406,                 1.6402,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.4184,                 1.4664,                 1.6944,                0.70777,                  0.504,                0.58013,                0.37168,                 1.3278,                 1.3116,                 1.6423,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.4226,                 1.4204,                 1.6585,                0.78908,                0.44894,                0.55887,                 0.3335,                 1.3695,                 1.4142,                 1.6712,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.3844,                 1.4023,                 1.6433,                0.78597,                  0.488,                0.57584,                0.35512,                 1.3796,                 1.3636,                 1.6729,               0.000119,               0.000119,               0.000119
                     98,                  1.413,                 1.4068,                 1.6364,                0.71683,                0.50632,                0.59165,                0.37432,                 1.3621,                 1.2699,                 1.6673,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.4001,                 1.4019,                 1.6521,                0.74718,                 0.4965,                0.59652,                 0.3691,                 1.3737,                 1.3116,                 1.6741,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.3777,                 1.3761,                 1.6429,                0.79007,                0.48173,                0.59288,                 0.3688,                  1.341,                 1.3297,                 1.6334,               5.96e-05,               5.96e-05,               5.96e-05
